一夫一妻	一夫一妻制
一言以蔽	一言以蔽之
三思而後	三思而後行
三百六十	三百六十度
三百六十	三百六十行
不以為然	大不以為然
不以為然	頗不以為然
不知不覺	不知不覺中
不見經傳	名不見經傳
中低收入	中低收入戶
中國時報	中國時報社
中國時報	中國時報系
中央信託	中央信託局
中央圖書	中央圖書館
中央委員	中央委員會
中央情報	中央情報局
中央標準	中央標準局
中央處理	中央處理器
中央通訊	中央通訊社
中小企業	中小企業處
中山北路	中山北路口
中山南路	中山南路口
中山醫學	中山醫學院
中正紀念	中正紀念堂
中華民國	中華民國頌
中華電視	中華電視台
中西合璧	中西合璧式
中高年級	低中高年級
丹佛金塊	丹佛金塊隊
主任委員	副主任委員
九九乘法	九九乘法表
五一勞動	五一勞動節
亞利桑那	亞利桑那州
亞得里亞	亞得里亞海
亞歷山大	亞歷山大城
亞歷桑那	亞歷桑那州
亞特蘭大	亞特蘭大市
交感神經	副交感神經
什麼東西	搞什麼東西
他鄉遇故	他鄉遇故知
企業管理	企業管理系
低收入戶	中低收入戶
佛羅里達	佛羅里達州
佛雷斯諾	佛雷斯諾市
作息時間	作息時間表
信用合作	信用合作社
信義計劃	信義計劃區
倉頡輸入	倉頡輸入法
個人所得	個人所得稅
僑務委員	僑務委員會
克里姆林	克里姆林宮
兒童圖書	兒童圖書館
兒童福利	兒童福利法
全國運動	全國運動會
全民健保	全民健保法
全能運動	全能運動員
全額交割	全額交割股
公共汽車	公共汽車站
公共電話	公共電話卡
公平交易	公平交易法
公設辯護	公設辯護人
六零年代	五六零年代
凍頂烏龍	凍頂烏龍茶
分子生物	分子生物學
刑事訴訟	刑事訴訟法
刑事警察	刑事警察局
利害關係	利害關係人
功率放大	功率放大器
加工出口	加工出口區
勞動基準	勞動基準法
勞動生產	勞動生產力
勞工保險	勞工保險局
北達科達	北達科達州
北部地區	中北部地區
南京東路	南京東路口
南威爾斯	南威爾斯省
南威爾斯	新南威爾斯
南部地區	中南部地區
印地安人	印地安人隊
印地安那	印地安那州
印象畫派	後印象畫派
及物動詞	不及物動詞
反托拉斯	反托拉斯法
古典主義	新古典主義
古生物學	古生物學家
台大醫院	台大醫院站
台灣光復	台灣光復節
台灣地區	中台灣地區
各走各的	各走各的路
君主立憲	君主立憲制
君士坦丁	君士坦丁堡
告訴乃論	非告訴乃論
商務考察	商務考察團
商務辦事	商務辦事處
問卷調查	問卷調查表
喜瑪拉雅	喜瑪拉雅山
喜馬拉雅	喜馬拉雅山
噪音管制	噪音管制法
國家公園	國家公園法
國家安全	國家安全局
國家安全	國家安全法
國家歌劇	國家歌劇院
國有財產	國有財產局
國民教育	國民教育法
國民身分	國民身分證
國民革命	國民革命軍
國父紀念	國父紀念館
國防委員	國防委員會
國防部長	前國防部長
國防醫學	國防醫學院
國際勞動	國際勞動節
國際博覽	國際博覽會
國際換日	國際換日線
國際標準	國際標準舞
國際貿易	國際貿易局
土地增值	土地增值稅
土地所有	土地所有權
土木工程	土木工程系
地政事務	地政事務所
坐山觀虎	坐山觀虎鬥
基隆港務	基隆港務局
塞爾提克	塞爾提克隊
外交豁免	外交豁免權
外匯兌換	外匯兌換率
多重選擇	多重選擇題
大眾傳播	大眾傳播系
天不從人	天不從人願
天字第一	天字第一號
奧林匹克	奧林匹克村
妨害風化	妨害風化罪
威斯康辛	威斯康辛州
婚生子女	非婚生子女
媒體藝術	新媒體藝術
守望相助	守望相助隊
安克拉治	安克拉治市
安全理事	安全理事會
安地斯山	安地斯山脈
安東尼奧	聖安東尼奧
定時炸彈	不定時炸彈
家庭手工	家庭手工業
密西西比	密西西比州
密西西比	密西西比河
富貴不能	富貴不能淫
實驗心理	實驗心理學
對苯二甲	對苯二甲酸
小兒麻痺	小兒麻痺症
少年時期	青少年時期
工程師學	工程師學會
巴伐利亞	巴伐利亞省
巴勒斯坦	巴勒斯坦人
巴基斯坦	巴基斯坦人
巴洛克風	巴洛克風格
巴爾的摩	巴爾的摩隊
布里斯班	布里斯班市
布魯克林	布魯克林區
常綠闊葉	常綠闊葉林
平等待遇	不平等待遇
平行四邊	平行四邊形
幼兒教育	幼兒教育券
幼發拉底	幼發拉底河
底格里斯	底格里斯河
康乃狄克	康乃狄克州
廬山真面	廬山真面目
延平郡王	延平郡王祠
建國北路	建國北路口
彩色電視	彩色電視機
很大程度	很大程度上
律師事務	律師事務所
後顧之憂	無後顧之憂
從來沒有	從來沒有過
循序漸進	循序漸進式
德克薩斯	德克薩斯州
德智體群	德智體群美
忠孝東路	忠孝東路口
忠孝西路	忠孝西路段
恨鐵不成	恨鐵不成鋼
意見調查	意見調查表
愛國西路	愛國西路口
愛斯基摩	愛斯基摩人
愛沙尼亞	愛沙尼亞人
應用力學	應用力學館
應用數學	應用數學系
戶政事務	戶政事務所
打擊樂器	打擊樂器組
托斯卡尼	托斯卡尼尼
拉布拉多	拉布拉多犬
拒絕往來	拒絕往來戶
擄人勒贖	擄人勒贖罪
攝氏溫度	攝氏溫度計
放在心上	不放在心上
放在眼裡	不放在眼裡
政務委員	政務委員會
政治經濟	政治經濟學
政見發表	政見發表會
教育部長	前教育部長
敦化北路	敦化北路口
敦化南路	敦化南路口
文藝復興	文藝復興式
新墨西哥	新墨西哥州
新聞局長	前新聞局長
新聞通訊	新聞通訊社
新英格蘭	新英格蘭區
新陳代謝	新陳代謝率
既得利益	既得利益者
明尼蘇達	明尼蘇達州
春夢一場	春夢一場空
春秋左氏	春秋左氏傳
智慧財產	智慧財產局
智慧財產	智慧財產權
更上一層	更上一層樓
有機化合	有機化合物
有線電視	有線電視台
有線電視	有線電視業
有線電視	有線電視臺
木馬屠城	木馬屠城計
木馬屠城	木馬屠城記
東南亞國	東南亞國協
松柏長青	松柏長青茶
核磁共振	核磁共振儀
核能發電	核能發電廠
桃李滿天	桃李滿天下
植物病理	植物病理學
機械工程	機械工程系
欲窮千里	欲窮千里目
正反兩方	正反兩方面
殖民主義	新殖民主義
民主女神	民主女神像
民事訴訟	民事訴訟法
民眾服務	民眾服務社
水利工程	水利工程師
水力發電	水力發電廠
水土保持	水土保持局
永久中立	永久中立國
治喪委員	治喪委員會
法定代理	法定代理人
法輪大法	法輪大法好
泡沫紅茶	泡沫紅茶店
洞房花燭	洞房花燭夜
流行性感	流行性感冒
海埔新生	海埔新生地
海岸巡防	海岸巡防署
海軍陸戰	海軍陸戰隊
消費合作	消費合作社
火力發電	火力發電廠
火車時刻	火車時刻表
無政府狀	無政府狀態
無機化合	無機化合物
無線電視	無線電視台
熱帶地區	亞熱帶地區
熱帶氣候	亞熱帶氣候
熱帶雨林	熱帶雨林區
特殊教育	特殊教育系
犯罪心理	犯罪心理學
猶他爵士	猶他爵士隊
玄天上帝	玄天上帝廟
玻利維亞	玻利維亞隊
現代主義	後現代主義
現實主義	超現實主義
環境保護	環境保護署
生活必需	生活必需品
生物學家	古生物學家
生物資訊	生物資訊學
生物醫學	生物醫學所
生產合作	生產合作社
用武之地	無用武之地
留得青山	留得青山在
發展心理	發展心理學
百分之一	百分之一百
直角三角	直角三角形
眾目睽睽	眾目睽睽下
知識分子	高知識分子
石器時代	新石器時代
石器時代	舊石器時代
硬式少棒	硬式少棒賽
硬式磁碟	硬式磁碟機
碳氫化合	碳氫化合物
碳水化合	碳水化合物
社會工作	社會工作者
社會心理	社會心理學
社會民主	社會民主黨
社會科學	社會科學院
神經細胞	神經細胞膜
票據交換	票據交換所
福爾摩沙	福爾摩沙社
科羅拉多	科羅拉多州
稅捐稽徵	稅捐稽徵處
空氣壓縮	空氣壓縮機
空氣濾清	空氣濾清器
精挑細選	精挑細選出
精神分裂	精神分裂症
約翰尼斯	約翰尼斯堡
約翰走路	約翰走路盃
紅葉少棒	紅葉少棒隊
紅面番鴨	紅面番鴨蛋
紐約尼克	紐約尼克隊
紐約洋基	紐約洋基隊
紙包不住	紙包不住火
細胞銀行	幹細胞銀行
結構生物	結構生物學
經濟部長	前經濟部長
綜合所得	綜合所得稅
維吉尼亞	維吉尼亞州
維多利亞	維多利亞式
總歸一句	總歸一句話
群起而攻	群起而攻之
聖嬰現象	反聖嬰現象
聯合國憲	聯合國憲章
聯立方程	聯立方程式
職業介紹	職業介紹所
脊椎動物	無脊椎動物
臨時動議	臨時動議案
自由女神	自由女神像
自由民主	自由民主黨
自由貿易	自由貿易區
自由貿易	自由貿易港
興都庫什	興都庫什山
茄汁鯖魚	蕃茄汁鯖魚
菸酒公賣	菸酒公賣局
萬分之一	百萬分之一
蒙藏委員	蒙藏委員會
虱目魚丸	虱目魚丸湯
虱目魚肚	虱目魚肚粥
血統證明	血統證明書
行人穿越	行人穿越道
行憲紀念	行憲紀念日
行政院長	前行政院長
行銷國內	行銷國內外
表面活性	表面活性劑
西班牙文	西班牙文學
西藏自治	西藏自治區
西點麵包	西點麵包店
見過世面	沒見過世面
記名投票	不記名投票
記名投票	無記名投票
記者招待	記者招待會
設備利用	設備利用率
說文解字	說文解字注
課外活動	課外活動組
調虎離山	調虎離山計
謀定而後	謀定而後動
證券交易	證券交易所
證券交易	證券交易法
證券交易	證券交易稅
象牙塔裡	象牙塔裡的
財政部長	前財政部長
責任準備	責任準備金
資產負債	資產負債表
軍事委員	軍事委員會
軍國主義	軍國主義化
軟式少棒	軟式少棒賽
軟體動物	軟體動物門
輸出變壓	輸出變壓器
農業機械	農業機械化
退伍軍人	退伍軍人症
通貨膨脹	通貨膨脹率
過去完成	過去完成式
選舉事務	選舉事務所
選舉委員	選舉委員會
選舉罷免	選舉罷免法
郵政代辦	郵政代辦所
鄉民代表	鄉民代表會
鄉鎮民代	鄉鎮民代表
釋迦牟尼	釋迦牟尼佛
重力加速	重力加速度
重慶南路	重慶南路口
野生動物	野生動物區
野生動物	野生動物園
金州勇士	金州勇士隊
鋼琴協奏	鋼琴協奏曲
鋼筋混凝	鋼筋混凝土
鐵路管理	鐵路管理局
長江三角	長江三角洲
開國紀念	開國紀念日
閒著沒事	閒著沒事幹
阿拉伯數	阿拉伯數字
阿拉巴馬	阿拉巴馬州
阿拉斯加	阿拉斯加州
阿爾卑斯	阿爾卑斯山
阿茲海默	阿茲海默症
陰極射線	陰極射線管
集會遊行	集會遊行法
電動玩具	電動玩具店
電機工程	電機工程師
電視接收	電視接收機
青年日報	青年日報社
非婚生子	非婚生子女
領事裁判	領事裁判權
風掃落葉	秋風掃落葉
馬來西亞	馬來西亞人
馬來西亞	馬來西亞廠
馬來西亞	馬來西亞隊
骨質疏鬆	骨質疏鬆症
高爾夫球	高爾夫球場
高爾夫球	高爾夫球界
高爾夫球	高爾夫球賽
高爾夫球	高爾夫球車
高膽固醇	高膽固醇症
高速公路	高速公路局
麻塞諸塞	麻塞諸塞州
麻薩諸塞	麻薩諸塞州
黃金海岸	黃金海岸區
黑白電視	黑白電視機
